Case number,Match Name,HorW,end_point_id,start_point_id,XG,start_index,end_index,num_shots,duration,distance_covered,number_of_players_involved,num_pass,zone_1_count,zone_2_count,zone_3_count,zone_4_count,zone_5_count,zone_6_count,zone_7_count,zone_8_count,zone_9_count,zone_10_count,zone_11_count,zone_12_count,zone_13_count,zone_14_count,zone_15_count,zone_16_count,zone_17_count,zone_18_count,zone_19_count,zone_20_count,zone_21_count,zone_22_count,zone_23_count,zone_24_count,Start_Zone,End_Zone,zone_transition_count,forward_movement_count,backward_movement_count,net_progress_ratio,num_opponents_front,distance_to_goal,shoot_angle,period,minute_absolute
1,LeverkusenVSAugsburg_Away,0,174505c2-664a-4d98-aad9-3f1093bf795d,df44ea18-1934-4450-823f-db95db70bd4e,0.09838268,814,829,2,13.580312999999999,70.57601158900292,6,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,7,0,19,23,6,6,4,0.5352226720647772,2,11.108555261599054,39.9526835543663,1,17.278383333333334
2,LeverkusenVSAugsburg_Away,0,7b7e1a10-7f5f-4d26-b918-a562d4264294,e963c13f-fc44-4df1-ab4a-37bc5f0985cb,0.02559302,1155,1192,1,44.148588999999994,304.80101646933736,8,11,0,0,0,0,8,1,12,0,0,0,2,7,1,1,0,0,0,3,0,2,0,0,1,0,7,18,15,15,10,0.6092356687898088,1,27.925078334715547,16.74702305723082,1,27.027083333333334
3,LeverkusenVSAugsburg_Away,0,dd1bd9b5-ad51-48ec-97e2-27727f544625,a51b1f41-0969-4140-a417-73e6ac3f9193,0.157486385,1407,1424,2,23.860606,142.688609793282,5,3,2,2,2,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,2,1,0,4,0,0,2,19,11,8,6,0.5644579182907463,4,24.7396442981705,19.717408103751517,1,31.7173
4,LeverkusenVSAugsburg_Away,0,7fc54483-0625-42fa-8a49-37383ace9c9f,7ddbf6e6-ed68-4bff-882b-071cd1814682,0.11429135,1473,1515,1,32.120584,289.28411306909516,9,13,0,3,1,0,0,6,5,0,0,0,3,5,0,1,0,3,3,6,2,0,0,0,5,0,7,23,21,20,10,0.5629234539426266,3,11.216059914247966,41.96309895464679,1,33.96358333333333
5,LeverkusenVSAugsburg_Away,0,bc85f688-dd48-4aea-bb30-7ff754bd9b98,b67fe2b4-f918-4ace-b204-b73f76052713,0.13132846,1563,1603,1,47.251363999999995,326.933989884581,8,11,0,3,0,0,2,1,0,1,3,2,0,0,0,0,1,1,4,5,4,4,0,3,3,3,9,22,23,18,10,0.5411903823413481,2,6.860029154456997,46.583663724501164,1,36.248583333333336
6,LeverkusenVSAugsburg_Away,0,90b6bc5e-e4b7-4b30-a33c-c5611d3809d9,d9d8df0f-d1ec-4c17-b599-dab17dc8570f,0.052352934999999996,1838,1869,2,26.180868000000004,199.1732666299088,7,8,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,2,5,1,5,2,3,0,4,3,16,19,19,13,9,0.50840233804189,3,30.891584614583955,15.532347983963255,1,42.0787
7,LeverkusenVSAugsburg_Away,0,ffe0cb9e-1d53-4cf5-9e08-b1b3f21d3911,4fee8929-6692-4e89-ba44-ee95afe8dee9,0.028836275,2135,2142,1,11.048388000000001,80.8142770097678,4,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,3,19,4,4,1,0.9074074074074074,4,26.45770209220748,18.188629516028673,2,47.82553333333333
8,LeverkusenVSAugsburg_Away,0,275da5de-6ced-4def-a639-fdea406c8308,73618bc9-ed4d-4a76-96fc-c455b8bd514d,0.020382116,2150,2193,1,40.679297003,369.3770559761299,8,14,0,0,1,0,0,0,1,0,0,1,1,0,3,3,1,4,0,10,5,4,0,4,3,2,10,18,22,16,14,0.5444183101139858,1,28.053163814443465,15.47254333966377,2,49.961983333333336
9,LeverkusenVSAugsburg_Away,0,eccb00bb-acf3-4788-a4cb-57d617fd57f4,f08d6e6d-502f-46ad-a053-4f80cdf9ce03,0.071716134,2235,2310,2,85.55763900000002,607.0024046848591,9,22,1,0,4,0,0,0,4,0,2,2,1,13,1,3,10,5,6,5,2,4,3,3,2,3,7,23,34,29,22,0.5317722915075931,4,17.12308383440319,27.496171098771338,2,53.45001666666667
10,LeverkusenVSAugsburg_Away,0,97e00f1c-8693-464e-a7a4-fcf06568f5bc,7b79f734-ac61-4682-9127-a689af9010b3,0.191964179,2317,2550,2,250.3461990050001,1352.1290003891297,10,66,5,1,2,1,6,3,11,2,10,19,4,10,16,5,12,23,13,5,3,56,2,0,4,20,10,23,102,90,75,0.5104124764056069,2,9.767292357659818,47.087008809876316,2,58.57618333333333
11,LeverkusenVSAugsburg_Away,0,c6cfad25-1b20-41e4-b1e8-f4e04e00f917,de6d0e3d-d692-495f-9487-bc1a45ab90f0,0.086557517,2754,2809,2,37.61718299999999,167.94919386781868,6,14,0,3,0,0,2,3,0,0,0,0,4,0,0,1,0,6,0,0,20,12,0,0,3,2,11,23,21,24,17,0.535437430786268,2,14.675489770362008,22.783544650360515,2,64.12716666666667
12,LeverkusenVSAugsburg_Away,0,c4836e8b-b534-4415-bf62-39cbe5f3bd11,f0bb8919-f434-4c1b-9e02-d2071fe973ac,0.08122217,2821,2891,1,70.68154700000001,438.6682779157039,11,17,0,2,6,2,0,1,2,2,0,4,0,9,12,0,1,0,12,2,1,2,4,3,4,1,3,23,42,34,19,0.5279029095341565,4,9.079647570252934,50.49627731739523,2,66.05525
13,LeverkusenVSAugsburg_Away,0,9dd32137-bc45-4746-be89-cde55a2ba02a,4494ae48-aef2-45b3-8a3d-b8f40e4bee0d,0.112848714,2896,2967,1,60.311439000000014,468.7499401823707,10,21,0,0,0,0,0,5,7,1,6,6,5,2,1,11,0,4,4,3,1,9,0,7,0,0,7,22,32,31,17,0.5543719485130937,0,12.794530081249565,21.67712929578848,2,68.36435
